Wall time,Step,Value
1543805115.227505,1424,0.0
1543805115.2276173,1541,0.0
1543805120.985872,2356,1.0
1543805126.7884395,3022,0.0
1543805141.9763207,5116,0.0
1543805143.8755858,5519,1.0
1543805157.409389,7474,0.0
1543805159.3688946,7823,1.0
1543805168.7969759,9068,0.0
1543805174.3509996,9908,0.0
1543805182.1784773,11086,0.0
1543805182.178654,11132,0.0
1543805184.3301694,11541,1.0
1543805220.5200436,15794,0.0
1543805236.7790048,17713,0.0
1543805241.7520487,18296,0.0
1543805260.6944458,20697,0.0
1543805275.0350623,22415,0.0
1543805277.3640926,22711,0.0
1543805295.9351525,24947,1.0
1543805300.5310044,25467,0.0
1543805310.0632727,26767,0.0
1543805324.174442,28275,0.0
1543805324.1749601,28459,0.0
1543805338.9102294,30014,0.0
1543805343.6934917,30597,0.0
1543805350.8836656,31331,0.0
1543805350.8841486,31469,0.0
1543805363.0188916,32933,0.0
1543805403.7905881,37606,0.0
1543805415.1819928,39046,0.0
1543805429.3914201,40927,0.0
1543805445.8325768,43128,0.0
1543805460.1733737,44715,0.0
1543805491.205943,48582,2.0
1543805524.2035637,52301,2.0
1543805554.468618,56216,1.0
1543805556.7010736,56380,0.0
1543805563.7073693,57309,1.0
1543805563.7075214,57401,0.0
1543805582.3332436,59511,1.0
1543805584.6831725,59862,0.0
1543805603.3039742,62412,0.0
1543805615.0010707,63813,1.0
1543805640.9044821,66991,1.0
1543805657.5209687,69104,0.0
1543805662.2254298,69760,0.0
1543805669.4187944,70452,1.0
1543805695.4997044,73552,2.0
1543805721.9004056,76625,2.0
1543805731.4432063,77771,1.0
1543805736.1169746,78497,1.0
1543805743.296429,79315,0.0
1543805743.296589,79410,0.0
1543805771.5578494,82726,2.0
1543805802.1941757,86597,4.0
1543805813.9894013,88112,0.0
1543805816.471242,88203,0.0
1543805821.1909516,88935,0.0
1543805849.4236095,92387,2.0
1543805856.5892055,93538,0.0
1543805866.0057776,94589,1.0
1543805910.455221,100243,0.0
1543805934.0555115,103131,0.0
1543805979.0281785,108548,1.0
1543805983.7464213,109090,2.0
1543806002.5457761,111361,4.0
1543806004.9238813,111773,1.0
1543806014.4672325,113111,0.0
1543806014.4674127,113254,0.0
1543806037.9477966,116086,2.0
1543806044.8576715,116867,0.0
1543806065.482715,119930,2.0
1543806084.348929,122292,0.0
1543806084.3490021,122315,0.0
1543806112.1810262,125621,1.0
1543806123.4454792,126868,1.0
1543806125.7624009,127088,3.0
1543806127.970431,127540,3.0
1543806141.6606073,129475,0.0
1543806141.660691,129498,0.0
1543806148.6790366,130367,0.0
1543806153.1485312,130802,1.0
1543806171.4476786,133376,0.0
1543806180.597275,134693,4.0
1543806182.865699,135139,1.0
1543806258.82666,144698,1.0
1543806291.0801015,149175,1.0
1543806320.781811,153250,1.0
1543806385.077282,161596,1.0
1543806424.0551388,166659,0.0
1543806459.2793941,170995,0.0
1543806459.2795768,171187,1.0
1543806494.088376,175375,1.0
1543806528.6910887,179912,3.0
1543806567.745878,185118,1.0
1543806574.9006777,185900,0.0
1543806574.900777,186050,2.0
1543806577.3246818,186171,2.0
1543806611.7003577,190697,2.0
1543806711.6988156,203361,3.0
1543806791.1373985,213396,2.0
1543806800.7619123,214604,1.0
1543806803.3391106,214847,2.0
1543806834.7680166,218758,1.0
1543806878.5522394,223857,1.0
1543806912.628445,228118,0.0
1543806927.2169623,229915,0.0
1543806929.595028,230348,1.0
1543806997.8968587,238591,1.0
1543807014.6675751,240545,1.0
1543807029.1773026,242345,1.0
1543807062.668871,246320,0.0
1543807104.2699375,251440,1.0
1543807166.6506212,258895,1.0
1543807188.3550456,261444,1.0
1543807190.790212,261839,1.0
1543807233.7963843,267196,2.0
1543807241.1233735,268191,3.0
1543807243.6456225,268320,0.0
1543807290.3266084,273959,1.0
1543807345.0313058,280455,1.0
1543807359.9804032,282125,4.0
1543807372.284462,283771,1.0
1543807438.4369106,292060,1.0
1543807463.0923495,295044,2.0
1543807465.6072834,295296,0.0
1543807470.430172,295896,1.0
1543807555.868977,306330,1.0
1543807563.3029504,307211,1.0
1543807587.9597726,310208,2.0
1543807595.4125195,311089,1.0
1543807622.779496,314209,1.0
1543807663.8637862,319088,3.0
1543807668.8726163,319888,1.0
1543807671.2636008,320153,1.0
1543807722.3363323,326610,1.0
1543807722.3364186,326717,1.0
1543807754.518738,330321,2.0
1543807774.1417942,332908,1.0
1543807849.8749259,342129,1.0
1543807912.9771993,350005,1.0
1543807927.1975923,351783,4.0
1543807937.0391839,352928,0.0
1543807980.8509486,358380,1.0
1543808047.626634,366590,1.0
1543808067.0567877,369012,2.0
1543808136.7907948,377859,1.0
1543808148.955706,379021,1.0
1543808170.5991755,381948,1.0
1543808229.8568566,389100,0.0
1543808242.2259324,390891,1.0
1543808247.1578002,391400,4.0
1543808271.0415301,394318,1.0
1543808275.881688,394945,2.0
1543808300.256147,397889,0.0
1543808314.9213505,399673,1.0
1543808356.4127102,404642,1.0
1543808368.9359274,406283,0.0
1543808450.8726096,416145,2.0
1543808460.708878,417273,4.0
1543808516.848352,423977,1.0
1543808526.937728,425179,3.0
1543808529.36653,425559,0.0
1543808539.3683844,426495,3.0
1543808577.0547113,431037,0.0
1543808591.862329,432817,1.0
1543808594.3136504,433127,0.0
1543808629.2520278,437224,1.0
1543808646.8746817,439164,1.0
1543808731.5972085,450065,1.0
1543808768.9939742,454563,1.0
1543808791.5134788,457390,3.0
1543808833.6526506,462223,2.0
1543808861.022015,465712,3.0
1543808863.555865,465859,1.0
1543808873.4138637,467023,0.0
1543808890.9744911,469421,1.0
1543808958.8950899,477318,3.0
1543808964.3215535,478000,1.0
1543808976.956998,479459,1.0
1543809048.9338152,488386,2.0
1543809066.3465807,490368,1.0
1543809078.6563423,491960,1.0
1543809144.2237859,499522,2.0
1543809149.2618532,500212,1.0
1543809179.416656,503700,2.0
1543809241.7140145,511356,0.0
1543809284.7856324,516278,2.0
1543809302.0890055,518371,1.0
1543809302.089057,518469,2.0
1543809317.0604842,519977,1.0
1543809329.7547843,521682,1.0
1543809344.8550615,523364,1.0
1543809384.928374,528147,3.0
1543809392.1952972,529053,0.0
1543809394.650097,529409,3.0
1543809406.9271684,530798,1.0
1543809429.6095166,533557,2.0
1543809553.7964008,548661,1.0
1543809558.8756876,549337,2.0
1543809604.677598,554687,1.0
1543809627.1427937,557343,4.0
1543809634.771066,558321,2.0
1543809660.0033429,561470,1.0
1543809711.519706,567464,2.0
1543809734.2502759,570196,2.0
1543809774.9692595,575148,1.0
1543809799.7060502,578135,2.0
1543809829.8203278,582019,1.0
1543809903.7104752,590268,1.0
1543809926.268402,592887,2.0
1543809928.7871547,593275,0.0
1543809973.7894437,598877,2.0
1543810003.6197796,602241,1.0
1543810021.6928964,604356,1.0
1543810024.1971507,604697,2.0
1543810029.4122453,605252,0.0
1543810092.2709904,612684,1.0
1543810094.722556,612835,1.0
1543810114.994793,615117,1.0
1543810122.5432727,615993,0.0
1543810167.3436186,621435,2.0
1543810194.8515987,624700,1.0
1543810222.6309776,628279,2.0
1543810265.6725807,633398,1.0
1543810357.670307,644628,2.0
1543810360.1336699,644874,1.0
1543810397.847663,649243,2.0
1543810415.8923097,651356,0.0
1543810418.342689,651610,1.0
1543810435.8608859,653691,1.0
1543810438.4446654,654135,0.0
1543810478.681382,658830,3.0
1543810483.865845,659279,1.0
1543810514.1045568,662941,1.0
1543810627.8118377,676444,1.0
1543810632.8232281,676931,0.0
1543810652.3784487,679524,2.0
1543810686.8028169,684117,2.0
1543810711.5908086,687026,0.0
1543810769.4048524,694187,3.0
1543810771.8210623,694505,2.0
1543810788.9422944,696777,1.0
1543810813.2767982,699730,1.0
1543810863.2896159,706017,1.0
1543810868.6008775,706562,1.0
1543810879.0189168,707668,1.0
1543810921.6519125,712709,2.0
1543810942.115,715128,0.0
1543810957.5563636,717035,1.0
1543810967.6584466,718113,1.0
1543811010.6131837,723005,1.0
1543811056.5359337,728781,1.0
1543811100.2741199,734031,2.0
1543811141.0296159,738511,1.0
1543811198.7129123,745554,0.0
1543811219.043913,747754,1.0
1543811275.9396806,754313,1.0
1543811358.239445,764141,1.0
1543811360.8140717,764537,1.0
1543811451.670289,775725,1.0
1543811456.9576123,776119,2.0
1543811472.087699,777996,2.0
1543811517.7775745,783301,0.0
1543811525.470264,784229,3.0
1543811550.797901,787260,2.0
1543811613.810243,794687,1.0
1543811623.8113155,795978,2.0
1543811636.4341714,797307,1.0
1543811646.3549933,798516,0.0
1543811656.6569517,799947,2.0
1543811689.9513192,803493,1.0
1543811728.8554077,808018,2.0
1543811728.855558,808073,1.0
1543811744.634795,809908,0.0
1543811772.6925445,813486,2.0
1543811798.072467,816652,1.0
1543811803.3777337,817307,1.0
1543811836.5030088,821433,3.0
1543811839.1438189,821655,1.0
1543811864.6403723,824763,2.0
1543811864.6407318,824938,0.0
1543811880.035447,826647,2.0
1543811885.174381,827133,2.0
1543811885.17459,827210,1.0
1543811910.35831,830134,3.0
1543811912.87041,830536,1.0
1543811922.9415019,831791,1.0
1543811925.4792306,832138,2.0
1543811963.388569,836564,1.0
1543811981.520335,838670,1.0
1543811986.7421446,839345,2.0
1543812043.1841805,845958,1.0
1543812043.1844049,846099,2.0
1543812043.1844766,846122,0.0
1543812088.5668092,851461,1.0
1543812189.2426436,863254,2.0
1543812232.731301,868257,1.0
1543812248.1843703,870072,1.0
1543812265.5812137,872462,1.0
1543812273.0438085,873361,1.0
1543812288.3030138,875164,1.0
1543812300.8290966,876858,1.0
1543812320.9149997,879311,1.0
1543812356.1673741,883737,1.0
1543812371.3617606,885614,0.0
1543812381.8584733,886875,2.0
1543812435.9143066,893307,0.0
1543812530.5707114,905374,1.0
1543812601.4347038,913888,1.0
1543812604.0316005,914165,0.0
1543812624.1111982,916563,2.0
1543812648.9305832,919734,3.0
1543812735.5960603,929751,2.0
1543812758.284572,932389,3.0
1543812760.7768743,932782,1.0
1543812773.592236,934691,1.0
1543812809.130437,939006,4.0
1543812856.6550493,944906,1.0
1543812859.1640666,945285,1.0
1543812874.3298163,947068,2.0
1543812958.5803864,958095,3.0
1543813006.1818957,964201,1.0
1543813079.2726512,973386,2.0
1543813154.5397232,982502,1.0
1543813174.6428814,984952,2.0
1543813226.822159,991299,2.0
1543813266.317605,996545,2.0
1543813329.1858401,1004269,1.0
1543813346.6099975,1006539,2.0
1543813384.6404274,1011303,1.0
1543813456.687924,1020500,2.0
1543813471.956148,1022143,0.0
1543813496.650027,1025262,1.0
1543813514.393885,1027498,2.0
1543813527.0494015,1028815,2.0
1543813542.2793326,1030912,0.0
1543813544.7173178,1031372,0.0
1543813564.8579218,1033824,4.0
1543813592.165548,1037397,3.0
1543813624.8263133,1041679,0.0
1543813652.3897257,1045138,2.0
1543813736.637019,1055314,1.0
1543813783.2740457,1061292,1.0
1543813788.1882255,1061912,1.0
1543813805.8925993,1064122,0.0
1543813843.8009994,1068825,4.0
1543813868.774568,1072249,3.0
1543813903.5526662,1076484,1.0
1543813947.9936187,1081980,4.0
1543813962.7758048,1083807,0.0
1543814019.5199988,1090891,1.0
1543814024.4625664,1091610,1.0
1543814081.653923,1098857,1.0
1543814101.4105005,1101283,1.0
1543814126.2192802,1104753,3.0
1543814154.3521242,1108125,2.0
1543814174.417696,1110591,1.0
1543814189.655006,1112470,1.0
1543814260.1944563,1121464,3.0
1543814275.105363,1123417,3.0
1543814295.6075146,1126104,3.0
1543814377.6564565,1136983,5.0
1543814487.715779,1150616,2.0
1543814548.0278955,1158068,2.0
1543814552.8827055,1158542,0.0
1543814560.1919012,1159574,0.0
1543814577.6091452,1161639,4.0
1543814589.8368282,1163161,1.0
1543814597.216622,1164183,1.0
1543814654.7796292,1171654,3.0
1543814699.3484838,1177218,3.0
1543814749.2697234,1183435,1.0
1543814783.8884742,1187910,4.0
1543814805.9308927,1190857,1.0
1543814808.3561196,1191133,1.0
1543814872.4811153,1199434,1.0
1543814877.3453944,1200075,1.0
1543814899.411388,1202860,0.0
1543814907.0605512,1203819,1.0
1543814909.5153325,1204334,1.0
1543814916.863707,1205170,3.0
1543814986.362197,1213919,0.0
1543814988.9329352,1214000,1.0
1543814991.5232704,1214400,0.0
1543814996.5546653,1214926,2.0
1543815008.9784927,1216428,0.0
1543815059.2672615,1222763,2.0
1543815074.1018372,1224784,4.0
1543815101.9957206,1228020,0.0
1543815177.2340286,1236966,1.0
1543815222.465193,1242513,2.0
1543815252.455413,1246303,1.0
1543815285.231223,1250036,3.0
1543815300.3071709,1251868,3.0
1543815347.9845583,1257581,0.0
1543815387.9084413,1262267,0.0
1543815403.1039908,1263930,2.0
1543815496.3219366,1275281,0.0
1543815498.789976,1275541,2.0
1543815521.6004338,1278234,1.0
1543815544.4069817,1281338,0.0
1543815589.723309,1287140,0.0
1543815706.4347036,1301341,3.0
1543815726.6610038,1304150,0.0
1543815734.4917252,1305076,1.0
1543815777.9595387,1310183,2.0
1543815780.4652224,1310534,2.0
1543815901.137786,1325397,0.0
1543815916.544326,1327153,0.0
1543816006.6596642,1338392,1.0
1543816024.8024538,1340450,0.0
1543816113.2045243,1350752,1.0
1543816165.8681068,1356752,0.0
1543816181.4182563,1358542,1.0
1543816191.9726365,1359871,2.0
1543816228.3092544,1364261,1.0
1543816257.153897,1367649,2.0
1543816304.5605328,1373024,1.0
1543816343.9509482,1377517,0.0
1543816362.4828825,1379624,1.0
1543816367.752321,1380131,2.0
1543816418.0907671,1385750,1.0
1543816444.3528984,1388923,1.0
1543816491.7119513,1394000,1.0
1543816539.9333477,1399631,0.0
1543816542.6274304,1399747,1.0
1543816566.4370253,1402376,1.0
1543816574.5095227,1403525,2.0
1543816611.6420298,1407608,0.0
1543816745.5053537,1422727,0.0
1543816769.7838662,1425752,2.0
1543816801.8888416,1429744,3.0
1543816850.3975403,1435207,1.0
1543816858.5795999,1436046,1.0
1543816891.132133,1439762,0.0
1543816899.1519012,1440802,1.0
1543816923.3182256,1443416,1.0
1543816942.024841,1445509,1.0
1543816942.0249364,1445647,1.0
1543816960.718476,1447650,1.0
1543816960.7185383,1447700,1.0
1543816963.4006763,1447829,2.0
1543816966.1411352,1448196,1.0
1543816982.2937963,1450152,0.0
1543817017.2046177,1453972,1.0
1543817044.178336,1457035,1.0
1543817071.3800094,1460164,1.0
1543817079.368094,1460954,2.0
1543817157.8226955,1469776,1.0
1543817168.872157,1470915,1.0
1543817193.3943725,1473850,1.0
1543817201.6598036,1474886,1.0
1543817201.6598563,1474963,1.0
1543817228.9370763,1477879,0.0
1543817261.7168477,1481814,2.0
1543817310.5444984,1487213,2.0
1543817354.1302536,1491904,1.0
1543817378.620313,1494848,1.0
1543817406.2222068,1497657,1.0
1543817507.371141,1509432,1.0
1543817532.4153557,1512145,2.0
1543817535.1467974,1512595,2.0
1543817543.2762575,1513602,2.0
1543817568.196808,1516354,1.0
1543817604.713257,1520237,4.0
1543817615.8449204,1521434,0.0
1543817668.6131861,1527359,0.0
1543817685.5708692,1529268,1.0
1543817749.5909076,1536170,1.0
1543817774.6206033,1539003,0.0
1543817805.6445792,1542274,2.0
1543817861.3754077,1548246,0.0
1543817986.4730453,1562607,5.0
1543817989.3285844,1562845,3.0
1543818083.0089254,1573617,1.0
1543818130.2154865,1578839,2.0
1543818253.6267154,1592917,1.0
1543818259.184173,1593458,3.0
1543818380.3999488,1607243,1.0
1543818427.4539347,1612211,1.0
1543818493.602975,1619621,1.0
1543818512.748054,1621946,4.0
1543818518.2667372,1622610,1.0
1543818548.7794669,1625987,3.0
1543818573.7340312,1628809,2.0
1543818599.0302756,1631513,1.0
1543818671.2676172,1639964,1.0
1543818724.42954,1645965,1.0
1543818782.6280286,1652664,1.0
1543818832.8031223,1658044,4.0
1543818864.0750644,1661451,1.0
1543819041.3462067,1680762,1.0
1543819055.5026064,1682368,1.0
1543819061.0967007,1682840,3.0
1543819083.54616,1685539,3.0
1543819089.1884809,1686289,1.0
1543819136.643656,1691528,1.0
1543819150.776504,1693255,1.0
1543819198.6266472,1698476,5.0
1543819210.0917253,1700059,3.0
1543819224.5857775,1701492,1.0
1543819284.2972846,1708035,4.0
1543819292.9544356,1709069,2.0
1543819298.5855095,1709554,1.0
1543819367.602773,1716968,2.0
1543819393.4238708,1719517,0.0
1543819410.8488507,1721346,0.0
1543819476.2211013,1728717,1.0
1543819499.1349087,1730901,4.0
1543819535.7695606,1734842,2.0
1543819555.8400517,1737223,1.0
1543819564.2896533,1738059,4.0
1543819601.5708585,1742606,4.0
1543819618.7243667,1744528,1.0
1543819624.5278296,1745053,4.0
1543819627.6205935,1745442,1.0
1543819712.6276448,1755034,1.0
1543819715.3697386,1755114,2.0
1543819715.369985,1755312,2.0
1543819760.076855,1759984,1.0
1543819794.744727,1763941,2.0
1543819822.7386608,1767253,2.0
1543819828.2840497,1767698,2.0
1543819833.8361788,1768170,1.0
1543819888.42069,1773930,0.0
1543819902.900834,1775535,1.0
1543819911.5977638,1776369,3.0
1543819914.5564072,1776752,1.0
1543819965.9764793,1782297,1.0
1543820034.6951685,1790156,5.0
1543820091.9266286,1796608,1.0
1543820140.9537973,1801997,1.0
1543820154.9757373,1803660,1.0
1543820157.9139807,1803996,7.0
1543820186.3975294,1807082,2.0
1543820192.1225696,1807927,2.0
1543820203.7430663,1809230,5.0
1543820344.18333,1825135,1.0
1543820373.0328124,1828353,6.0
1543820450.5622616,1836563,1.0
1543820450.562728,1836787,1.0
1543820453.5690253,1836996,4.0
1543820508.36157,1843079,2.0
1543820534.195198,1845923,5.0
1543820598.5837417,1853494,2.0
1543820679.787041,1862275,1.0
1543820723.015716,1867017,2.0
1543820731.6102116,1868069,5.0
1543820766.5974653,1871746,2.0
1543820781.5763822,1873402,5.0
1543820848.8000596,1880621,1.0
1543820918.0208561,1888068,0.0
1543820941.1909487,1890286,0.0
1543821039.3067667,1901453,2.0
1543821045.1211858,1901899,2.0
1543821048.0206692,1902382,1.0
1543821122.2740579,1910497,1.0
1543821140.1368918,1912419,1.0
1543821222.2547667,1920922,1.0
1543821262.724157,1925375,0.0
1543821262.7242146,1925475,2.0
1543821440.3516204,1944840,2.0
1543821487.0670605,1950029,3.0
1543821489.9084582,1950138,1.0
1543821551.2920308,1956451,1.0
1543821557.1538439,1957091,1.0
1543821572.159391,1958776,1.0
1543821578.1891348,1959500,1.0
1543821601.4840965,1962189,1.0
1543821610.0314257,1962941,1.0
1543821660.0913262,1968228,3.0
1543821719.2741141,1974339,1.0
1543821754.8611548,1978155,1.0
1543821763.6854742,1979274,2.0
1543822000.7150114,2005198,0.0
1543822030.2338912,2008159,3.0
1543822045.030758,2009808,2.0
1543822074.614954,2013228,4.0
1543822080.5101047,2013822,1.0
1543822095.1676052,2015086,1.0
1543822101.1397514,2015700,2.0
1543822116.0772748,2017111,1.0
1543822154.1023111,2021314,2.0
1543822238.3035505,2030905,1.0
1543822241.1185117,2031264,1.0
1543822296.157114,2037541,2.0
1543822340.1680872,2042484,1.0
1543822384.6612732,2047409,1.0
1543822497.1350791,2059327,1.0
1543822511.9238877,2060896,1.0
1543822639.7190106,2075166,0.0
1543822648.8674152,2076021,2.0
1543822664.0214233,2077584,1.0
1543822730.592695,2084898,2.0
1543822745.8346515,2086380,4.0
1543822864.3829641,2099277,3.0
1543822867.5993865,2099602,0.0
1543823051.1971896,2118688,1.0
1543823057.0155408,2119226,1.0
1543823057.015644,2119328,2.0
1543823084.402405,2122387,6.0
