Wall time,Step,Value
1543805125.1569927,2793,-0.012000756338238716
1543805132.7054517,3816,-0.013202936388552189
1543805161.7192917,8049,-0.012324541807174683
1543805169.1453197,9194,-0.009149357676506042
1543805174.782805,10061,-0.009758035652339458
1543805182.5203292,11157,-0.009877899661660194
1543805237.2296755,17775,-0.011259770952165127
1543805284.6882644,23510,-0.011462337337434292
1543805291.945449,24357,-0.010303294286131859
1543805299.1027176,25286,-0.009493062272667885
1543805344.3725643,30568,-0.012257952243089676
1543805365.992644,33193,-0.009816944599151611
1543805429.6157188,40857,-0.010109996423125267
1543805441.4472363,42422,-0.011478123255074024
1543805455.7053506,44117,-0.008600092492997646
1543805566.8910275,57723,-0.00802855659276247
1543805575.7895443,58704,-0.009375747293233871
1543805725.3858254,77130,-0.00826666783541441
1543805751.2307703,80239,-0.005984488409012556
1543805822.0359426,88932,-0.006436209660023451
1543805845.7305875,91991,-0.00679741008207202
1543805877.7473552,95958,-0.007715874817222357
1543805932.4557478,102931,-0.0057158637791872025
1543805960.2007987,106107,-0.006930219940841198
1543805972.092449,107634,-0.0074831657111644745
1543806003.1412106,111480,-0.007374593988060951
1543806075.482451,121135,-0.007921189069747925
1543806077.6331456,121354,-0.007257638964802027
1543806098.4601886,123867,-0.007353936322033405
1543806114.8121283,125745,-0.006256714928895235
1543806141.88504,129328,-0.008770010434091091
1543806185.6351137,135284,-0.0070227631367743015
1543806233.893506,141412,-0.008195867761969566
1543806238.808125,142057,-0.008732090704143047
1543806272.9010174,146483,-0.008060140535235405
1543806288.998336,148658,-0.008712608367204666
1543806294.3334577,149473,-0.0067750681191682816
1543806334.7293088,155142,-0.0054350304417312145
1543806388.3202367,162029,-0.006225861143320799
1543806397.1303875,163125,-0.0057869404554367065
1543806443.8651252,169197,-0.006959069985896349
1543806473.975611,172985,-0.008552339859306812
1543806487.1977699,174538,-0.00871165283024311
1543806608.1700008,190073,-0.006633422337472439
1543806619.6839323,191597,-0.005584369879215956
1543806681.8881645,199471,-0.005615611094981432
1543806691.1097713,200547,-0.005845547653734684
1543806698.541358,201551,-0.008737449534237385
1543806775.125406,211312,-0.009075974114239216
1543806780.089965,211921,-0.007448091171681881
1543806842.1363466,219504,-0.007304391823709011
1543806871.5816073,222935,-0.005839749239385128
1543806890.6951468,225299,-0.00720333494246006
