Wall time,Step,Value
1543804502.7039666,2911,-0.008460389450192451
1543804508.7001245,3961,-0.007551740389317274
1543804531.700099,8389,-0.008141864091157913
1543804537.6308334,9479,-0.007277095690369606
1543804542.1809068,10330,-0.008125795982778072
1543804548.1965163,11457,-0.00773314805701375
1543804631.5985534,23723,-0.006080396007746458
1543804637.8477254,24744,-0.007311716675758362
1543804644.1776032,25628,-0.007011397276073694
1543804693.122793,31005,-0.006775130983442068
1543804718.0969,33594,-0.006568457465618849
1543804787.89341,41348,-0.006036785896867514
1543804800.6299124,42829,-0.006312288343906403
1543804815.9217663,44555,-0.0066281938925385475
1543804937.9501135,59136,-0.0037507014349102974
1543804948.45974,60567,-0.00553906662389636
1543805100.1134787,79659,-0.004184831399470568
1543805128.7128696,83174,-0.00417404156178236
1543805205.6437905,92323,-0.0033348638098686934
1543805230.7043743,95274,-0.004996562376618385
1543805264.6358032,99409,-0.0034455638378858566
1543805322.8387792,106651,-0.0032805739901959896
1543805352.1969,110215,-0.0038565313443541527
1543805365.3052702,111737,-0.004617263097316027
1543805397.789336,115813,-0.0032630807254463434
1543805476.1491592,125275,-0.0030918933916836977
1543805478.2919521,125535,-0.0024920420255512
1543805500.9428535,128375,-0.0016033604042604566
1543805518.4995594,130344,-0.003879781812429428
1543805549.1509643,133768,-0.00763506768271327
1543805597.1818397,139540,-0.0036480643320828676
1543805649.6240947,145750,-0.0014511641347780824
1543805654.8653784,146476,-0.0036706423852592707
1543805691.5963962,151067,-0.0019408513326197863
1543805709.5372047,153176,-0.0037596437614411116
1543805715.36158,153976,-0.0015796428779140115
1543805759.8375158,159440,-0.00185864744707942
1543805818.4603474,166507,-0.0041493079625070095
1543805827.76128,167646,-0.004331684671342373
1543805878.556692,174127,-0.004763538483530283
1543805911.821975,177928,-0.0033212655689567327
1543805926.0921495,179515,-0.006702476646751165
1543806058.38487,195841,-0.009841159917414188
1543806071.0705009,197522,-0.008725674822926521
1543806139.3763418,206012,-0.003931357990950346
1543806149.2644005,207171,-0.0036829370073974133
1543806157.2186,208180,-0.007508574984967709
1543806238.555198,217916,-0.011200041510164738
1543806243.717991,218636,-0.006110085640102625
1543806308.4646106,226365,-0.009910550899803638
1543806339.3541312,230058,-0.009308533743023872
1543806359.428893,232414,-0.007760734762996435
1543806451.8612928,243501,-0.007165858987718821
1543806477.08704,246496,-0.005726974923163652
1543806677.664925,271027,-0.007513679098337889
1543806737.085904,278355,-0.00811230018734932
1543806755.1524832,280436,-0.007701200898736715
1543806770.7397065,282271,-0.006128210108727217
1543806869.0375993,293837,-0.004514149855822325
1543806915.4232757,299492,-0.006053864024579525
1543806972.157641,306339,-0.00743050267919898
1543807091.462079,320034,-0.0028600345831364393
1543807130.1768026,324600,-0.0047477795742452145
1543807166.147163,328741,-0.004720558878034353
1543807202.5120726,332975,-0.006680388934910297
1543807524.1971338,371580,-0.005150995217263699
1543807541.9156857,373547,-0.005695309955626726
1543807556.595424,375353,-0.005290306638926268
1543807609.3561025,381739,-0.005763559602200985
1543807639.2355638,385194,-0.005804672837257385
1543807652.3881505,386686,-0.005123021546751261
